Date,County,Cases,Deaths
2021-08-15,Cecil,6747,159
2021-08-15,Charles,11680,216
2021-08-15,Dorchester,3045,64
2021-08-15,Frederick,20625,338
2021-08-15,Garrett,2119,65
2021-08-15,Harford,17320,299
2021-08-15,Howard,19988,256
2021-08-15,Kent,1409,49
2021-08-15,Montgomery,73761,1588
2021-08-15,Prince_Georges,88991,1571
2021-08-15,Queen_Annes,3122,54
2021-08-15,Somerset,2711,42
2021-08-15,St_Marys,6494,133
2021-08-15,Talbot,2278,46
2021-08-15,Washington,15153,333
2021-08-15,Wicomico,8286,180
2021-08-15,Worcester,3922,105
2021-08-16,Allegany,7274,214
2021-08-16,Anne_Arundel,45715,657
2021-08-16,Baltimore,68082,1659
2021-08-16,Baltimore_City,54787,1245
2021-08-16,Calvert,4467,85
2021-08-16,Caroline,2432,31
2021-08-16,Carroll,9797,253
2021-08-16,Cecil,6762,159
2021-08-16,Charles,11720,216
2021-08-16,Dorchester,3060,64
2021-08-16,Frederick,20665,338
2021-08-16,Garrett,2125,65
2021-08-16,Harford,17357,299
2021-08-16,Howard,20015,256
2021-08-16,Kent,1413,49
2021-08-16,Montgomery,73842,1589
2021-08-16,Prince_Georges,89131,1571
2021-08-16,Queen_Annes,3130,54
2021-08-16,Somerset,2714,42
2021-08-16,St_Marys,6527,133
2021-08-16,Talbot,2282,46
2021-08-16,Washington,15167,333
2021-08-16,Wicomico,8316,180
2021-08-16,Worcester,3938,105
2021-08-17,Allegany,7291,214
2021-08-17,Anne_Arundel,45777,657
2021-08-17,Baltimore,68177,1660
2021-08-17,Baltimore_City,54849,1246
2021-08-17,Calvert,4476,85
2021-08-17,Caroline,2435,31
2021-08-17,Carroll,9809,253
2021-08-17,Cecil,6779,159
2021-08-17,Charles,11767,216
2021-08-17,Dorchester,3068,64
2021-08-17,Frederick,20743,338
2021-08-17,Garrett,2126,65
2021-08-17,Harford,17390,299
2021-08-17,Howard,20047,256
2021-08-17,Kent,1414,49
2021-08-17,Montgomery,73960,1589
2021-08-17,Prince_Georges,89275,1572
2021-08-17,Queen_Annes,3142,54
2021-08-17,Somerset,2718,42
2021-08-17,St_Marys,6563,135
2021-08-17,Talbot,2284,46
2021-08-17,Washington,15184,333
2021-08-17,Wicomico,8343,181
2021-08-17,Worcester,3952,105
2021-08-18,Allegany,7307,214
2021-08-18,Anne_Arundel,45888,659
2021-08-18,Baltimore,68311,1660
2021-08-18,Baltimore_City,54926,1246
2021-08-18,Calvert,4485,85
2021-08-18,Caroline,2437,31
2021-08-18,Carroll,9837,253
2021-08-18,Cecil,6811,159
2021-08-18,Charles,11806,216
2021-08-18,Dorchester,3081,64
2021-08-18,Frederick,20800,338
2021-08-18,Garrett,2136,65
